cell_id,x,y,z,n_counts,n_genes,sample_id,annotation_level_1,annotation_level_1_corr,annotation_level_2,annotation_level_2_corr,annotation_level_3,annotation_level_3_corr,celltype_original,celltype_original_corr,cell_type,cell_type_corr
aaacfgjp-1,835.0326391089109,7973.327434158416,15.82719746039604,202,78,10x,Non-neoplastic,-0.010144515820444485,Lymphoid,0.02983623489619063,B cell,0.09146892077832836,B cells,0.09296888635231668,B cell,0.09146892077832836
aaacgdlp-1,834.9594919337017,7958.125550828729,15.462614110497238,181,75,10x,Non-neoplastic,-0.010360460405480979,Lymphoid,0.0660102227964751,NK,0.0864029819670146,T cells 1,0.09247255061045075,natural killer cell,0.0864029819670146
aaachdbb-1,860.4641903416149,8027.047950310559,15.529055616459626,322,83,10x,Non-neoplastic,0.01956345493677027,Lymphoid,0.056189851594297666,NK,0.10413700011182139,NKT cells,0.10701888550376586,natural killer cell,0.10413700011182139
aaachkfe-1,859.7745114044944,8041.505605617977,16.16467333988764,178,64,10x,Neoplastic,-0.040039338198764485,Glial-Neuronal,-0.013774833063673334,Oligodendrocyte,0.0003874628990580076,Normal brain,0.03566422283419027,oligodendrocyte,0.0003874628990580076
aaachlne-1,860.4312353138075,7995.977459414226,15.895171035564854,239,90,10x,Non-neoplastic,-0.0015643100111176786,Myeloid,0.005792225073981237,Neuron,0.02572174130574502,BDM-like,0.08184731777693911,neuron,0.02572174130574502
aaachpne-1,854.3461545136187,8004.438485214007,15.943601787937741,257,84,10x,Non-neoplastic,0.0073671667250823115,Myeloid,0.01476998403460354,Neutrophil,0.09075430739248863,Mono 1,0.1137234365932433,neutrophil,0.09075430739248863
aaacildp-1,847.6416232110091,8021.667922018349,15.530752720183486,109,50,10x,Non-neoplastic,0.030921271016531054,Lymphoid,0.05554020818423741,CD4/CD8,0.05794579986986058,CD4 CTL,0.1086965281485682,mature T cell,0.05794579986986058
aaacjafl-1,848.6689022950819,7991.192375956284,15.869615172131148,183,85,10x,Neoplastic,-0.04734800799652651,Vascular,0.03048389865386879,Neutrophil,0.05487368109040628,Neutrophils,0.053511305649819804,neutrophil,0.05487368109040628
aaaclnlb-1,844.3969898156682,7997.16848248848,15.950259804147466,217,83,10x,Neoplastic,0.07245853046217471,Differentiated-like,0.0834951901031864,Astrocyte,0.12664351266323734,Radial Glia,0.1386730154605029,astrocyte,0.12664351266323734
aaadbakg-1,843.4750696932515,8022.55711411043,15.561462512269939,163,57,10x,Non-neoplastic,-0.03247476653638589,Lymphoid,0.046165743858769794,NK,0.04996904853776736,Regulatory T cells,0.07618569203064156,natural killer cell,0.04996904853776736
